"id";"moto_similares";"caminhao_similares";"onibus_similares"
260031;"não";"não";"não"
260036;"não";"não";"não"
260037;"não";"não";"não"
260038;"sim";"não";"não"
260039;"não";"não";"não"
260040;"sim";"não";"não"
260041;"não";"não";"não"
260042;"não";"não";"não"
260043;"sim";"não";"não"
260044;"sim";"não";"não"
260045;"não";"não";"não"
260046;"não";"não";"não"
260050;"não";"não";"não"
260051;"sim";"não";"não"
260052;"não";"não";"não"
260053;"não";"não";"não"
260054;"não";"não";"não"
260055;"não";"não";"não"
260057;"sim";"não";"não"
260060;"não";"não";"não"
260061;"sim";"não";"não"
260063;"não";"não";"não"
260064;"sim";"não";"não"
260065;"não";"não";"não"
260066;"sim";"não";"não"
260067;"não";"não";"não"
260068;"não";"sim";"não"
260069;"não";"não";"não"
260070;"não";"não";"não"
260071;"não";"não";"não"
260073;"não";"sim";"não"
260074;"sim";"não";"não"
260075;"não";"não";"não"
260076;"sim";"não";"não"
260077;"não";"não";"não"
260078;"não";"não";"não"
260080;"sim";"não";"não"
260081;"sim";"não";"não"
260083;"sim";"não";"não"
260084;"não";"não";"não"
260085;"não";"não";"não"
260086;"não";"não";"não"
260087;"não";"sim";"não"
260088;"sim";"não";"não"
260090;"não";"não";"não"
260092;"sim";"não";"não"
260094;"não";"não";"não"
260095;"não";"não";"não"
260096;"não";"não";"não"
260098;"não";"não";"não"
260099;"não";"não";"não"
260100;"sim";"não";"não"
260101;"não";"não";"não"
260103;"não";"não";"não"
260105;"sim";"não";"não"
260107;"sim";"não";"não"
260108;"não";"não";"não"
260110;"sim";"não";"não"
260112;"sim";"não";"não"
260113;"sim";"não";"não"
260114;"sim";"não";"não"
260115;"sim";"não";"não"
260116;"não";"sim";"não"
260117;"sim";"não";"não"
260118;"não";"não";"não"
260119;"não";"não";"não"
260120;"sim";"não";"não"
260121;"não";"não";"não"
260122;"não";"não";"não"
260123;"sim";"não";"não"
260124;"sim";"não";"não"
260125;"não";"não";"não"
260126;"não";"não";"não"
260128;"sim";"não";"não"
260129;"não";"sim";"não"
260130;"não";"não";"não"
260132;"sim";"não";"não"
260133;"sim";"não";"não"
260134;"sim";"não";"sim"
260135;"não";"não";"não"
260136;"não";"não";"não"
260137;"não";"não";"não"
260139;"não";"não";"não"
260140;"não";"não";"não"
260141;"sim";"não";"não"
260142;"não";"não";"não"
260143;"sim";"não";"não"
260144;"sim";"não";"não"
260145;"não";"não";"não"
260146;"não";"não";"não"
260147;"não";"sim";"não"
260148;"sim";"não";"não"
260150;"sim";"não";"não"
260151;"não";"não";"não"
260152;"não";"não";"não"
260153;"não";"não";"não"
260154;"não";"não";"não"
260155;"sim";"não";"não"
260156;"não";"não";"não"
260157;"sim";"não";"não"
260158;"sim";"não";"não"
260159;"sim";"não";"não"
260160;"sim";"não";"não"
260161;"não";"sim";"não"
260162;"sim";"não";"não"
260163;"não";"não";"não"
260164;"não";"não";"não"
260165;"não";"sim";"não"
260166;"sim";"não";"não"
260167;"não";"não";"não"
260168;"sim";"não";"não"
260169;"não";"não";"não"
260170;"não";"não";"não"
260172;"sim";"não";"não"
260173;"não";"sim";"não"
260174;"não";"não";"não"
260175;"não";"não";"não"
260176;"não";"não";"não"
260177;"não";"não";"não"
260178;"sim";"não";"não"
260179;"não";"não";"não"
260180;"sim";"não";"não"
260181;"sim";"não";"não"
260182;"sim";"não";"não"
260183;"não";"não";"não"
260184;"não";"não";"não"
260185;"não";"não";"não"
260186;"não";"não";"não"
260187;"não";"não";"não"
260188;"não";"não";"não"
260189;"não";"não";"não"
260190;"sim";"não";"não"
260191;"não";"não";"não"
260192;"sim";"não";"não"
260193;"não";"não";"não"
260194;"não";"não";"não"
260195;"não";"não";"não"
260196;"não";"não";"não"
260197;"sim";"não";"sim"
260198;"não";"não";"não"
260199;"não";"não";"não"
260200;"não";"não";"não"
260201;"não";"não";"não"
260202;"não";"sim";"não"
260203;"não";"não";"não"
260204;"sim";"não";"não"
260205;"sim";"não";"não"
260206;"não";"não";"não"
260208;"não";"não";"não"
260209;"não";"não";"não"
260210;"sim";"não";"não"
260211;"não";"não";"sim"
260213;"não";"não";"não"
260214;"não";"não";"não"
260215;"não";"não";"não"
260216;"não";"não";"não"
260217;"sim";"não";"não"
260218;"não";"não";"não"
260219;"não";"não";"não"
260220;"sim";"não";"não"
260221;"não";"sim";"não"
260222;"não";"não";"não"
260223;"não";"não";"não"
260224;"sim";"não";"não"
260225;"não";"sim";"não"
260226;"não";"não";"não"
260227;"sim";"não";"não"
260228;"sim";"não";"não"
260229;"não";"sim";"não"
260230;"não";"não";"não"
260231;"sim";"não";"não"
260233;"não";"não";"não"
260234;"não";"não";"não"
260235;"não";"não";"não"
260236;"não";"não";"não"
260238;"não";"não";"não"
260239;"não";"não";"não"
260240;"sim";"não";"não"
260241;"não";"sim";"não"
260242;"sim";"não";"não"
260243;"não";"não";"não"
260244;"sim";"não";"não"
260245;"não";"não";"não"
260246;"não";"não";"não"
260247;"sim";"não";"não"
260248;"sim";"não";"não"
260249;"não";"não";"sim"
260250;"não";"não";"não"
260251;"sim";"não";"não"
260253;"sim";"não";"não"
260255;"não";"não";"não"
260256;"não";"não";"não"
260257;"não";"não";"não"
260258;"não";"não";"não"
260259;"não";"não";"não"
260260;"não";"não";"não"
260261;"não";"não";"não"
260262;"sim";"não";"sim"
260263;"não";"não";"não"
260264;"não";"sim";"não"
260265;"não";"sim";"não"
260266;"não";"não";"não"
260267;"não";"não";"não"
260268;"não";"sim";"não"
260269;"não";"não";"não"
260270;"sim";"não";"não"
260271;"não";"não";"não"
260272;"não";"não";"não"
260273;"não";"não";"não"
260274;"não";"não";"não"
260275;"não";"não";"não"
260276;"sim";"não";"não"
260277;"não";"sim";"não"
260278;"não";"sim";"não"
260279;"sim";"não";"não"
260280;"não";"não";"não"
260281;"não";"sim";"não"
260282;"não";"não";"não"
260283;"não";"não";"não"
260284;"não";"não";"não"
260285;"sim";"não";"não"
260286;"não";"não";"não"
260287;"sim";"não";"não"
260288;"sim";"não";"não"
260289;"não";"não";"não"
260290;"sim";"não";"não"
260291;"não";"não";"não"
260292;"não";"sim";"não"
260293;"não";"sim";"não"
260294;"não";"não";"não"
260296;"não";"não";"não"
260297;"sim";"não";"não"
260298;"não";"não";"não"
260299;"não";"não";"não"
260300;"sim";"não";"não"
260302;"não";"sim";"não"
260303;"sim";"não";"não"
260304;"sim";"não";"não"
260305;"não";"não";"não"
260306;"não";"não";"não"
260307;"sim";"não";"não"
260308;"não";"não";"não"
260310;"sim";"não";"não"
260311;"sim";"não";"não"
260312;"não";"não";"sim"
260314;"não";"não";"não"
260315;"não";"não";"não"
260316;"não";"não";"não"
260318;"não";"não";"não"
260319;"não";"não";"não"
260322;"sim";"não";"não"
260323;"sim";"não";"não"
260324;"não";"não";"não"
260325;"sim";"não";"não"
260326;"sim";"não";"não"
260327;"sim";"não";"não"
260328;"não";"não";"não"
260329;"sim";"não";"não"
260330;"sim";"não";"não"
260331;"não";"não";"não"
260333;"sim";"não";"não"
260334;"sim";"não";"não"
260336;"não";"não";"não"
260337;"não";"não";"não"
260338;"sim";"não";"não"
260339;"não";"não";"não"
260340;"sim";"não";"não"
260341;"sim";"não";"não"
260342;"não";"sim";"não"
260343;"não";"não";"não"
260344;"não";"não";"não"
260345;"sim";"não";"não"
260346;"não";"não";"sim"
260348;"não";"não";"não"
260349;"não";"sim";"não"
260350;"não";"não";"não"
260351;"não";"não";"não"
260352;"sim";"não";"não"
260353;"não";"não";"não"
260354;"não";"não";"não"
260355;"não";"não";"não"
260356;"não";"sim";"não"
260357;"não";"sim";"não"
260358;"não";"não";"não"
260359;"sim";"não";"não"
260361;"não";"não";"não"
260362;"sim";"não";"não"
260364;"não";"não";"não"
260365;"não";"não";"não"
260366;"não";"não";"sim"
260368;"não";"não";"não"
260369;"não";"não";"não"
260370;"não";"não";"não"
260371;"não";"sim";"não"
260373;"sim";"não";"não"
260374;"não";"não";"não"
260375;"não";"sim";"não"
260376;"não";"sim";"não"
260377;"sim";"não";"não"
260378;"não";"não";"sim"
260379;"não";"não";"não"
260381;"não";"não";"não"
260382;"não";"não";"não"
260383;"não";"não";"não"
260384;"não";"não";"não"
260385;"não";"não";"não"
260387;"não";"não";"não"
260388;"não";"não";"não"
260389;"não";"sim";"sim"
260390;"sim";"não";"não"
260392;"não";"não";"não"
260393;"não";"não";"não"
260394;"não";"não";"não"
260395;"não";"não";"não"
260398;"não";"não";"não"
260399;"sim";"não";"não"
260400;"não";"não";"não"
260401;"sim";"não";"não"
260402;"não";"não";"não"
260403;"sim";"não";"não"
260404;"sim";"não";"não"
260405;"não";"sim";"não"
260406;"não";"não";"não"
260407;"não";"sim";"não"
260408;"não";"não";"não"
260409;"não";"não";"não"
260410;"não";"não";"não"
260411;"sim";"não";"não"
260412;"não";"não";"não"
260413;"não";"não";"não"
260414;"não";"não";"sim"
260415;"não";"não";"não"
260416;"não";"sim";"não"
260417;"não";"não";"não"
260418;"sim";"não";"não"
260419;"não";"sim";"não"
260420;"sim";"não";"não"
260421;"não";"não";"sim"
260422;"não";"sim";"não"
260423;"não";"sim";"não"
260424;"não";"não";"não"
260425;"não";"não";"não"
260426;"não";"não";"não"
260427;"não";"não";"não"
